TICKER,Date of Purchase,Units,Cost Base,Unit Price,Value,Capital Gain Non Discounted,Capital Gain Discounted,Capital Loss,Capital Gain Percentage,Capital Loss Percentage
ALQ,13/12/2008,10,190.71,7.905,79.05,0,0,-111.66,0,-58.55
ALU,14/12/2008,10,377,35.36,353.6,0,0,-23.4,0,-6.207
ALX,15/12/2008,10,88.87,8.175,81.75,0,0,-7.12,0,-8.012
AMC,16/12/2008,10,44.93,16.64,166.4,121.47,60.735,0,270.354,0
AMP,17/12/2008,10,547,2.18,21.8,0,0,-525.2,0,-96.015
ANN,18/12/2008,20,195.2,27.645,552.9,357.7,178.85,0,183.248,0
ANZ,19/12/2008,20,81.44,28.205,564.1,482.66,241.33,0,592.657,0
AOG,20/12/2008,20,49.57,2.01,40.2,0,0,-9.37,0,-18.903
APA,21/12/2008,20,19.55,11.2,224.0,204.45,102.225,0,1045.78,0
API,22/12/2008,20,22.94,1.342,26.84,3.9,1.95,0,17.001,0
Total,,150.0,1617.21,,2110.64,1170.18,585.09,-676.75,,
