TICKER,Date of Purchase,Units,Cost Base,Unit Price,Value,Capital Gain Non Discounted,Capital Gain Discounted,Capital Loss,Capital Gain Percentage,Capital Loss Percentage
ALQ,13/12/2008,10,190.71,19.071,190.71,0.0,0.0,0,0.0,0
ALU,14/12/2008,10,377,37.7,377.0,0.0,0.0,0,0.0,0
ALX,15/12/2008,10,88.87,8.887,88.87,0.0,0.0,0,0.0,0
AMC,16/12/2008,10,44.93,4.493,44.93,0.0,0.0,0,0.0,0
AMP,17/12/2008,10,547,54.7,547.0,0.0,0.0,0,0.0,0
ANN,18/12/2008,20,195.2,19.52,390.4,195.2,97.6,0,100.0,0
ANZ,19/12/2008,20,81.44,8.144,162.88,81.44,40.72,0,100.0,0
AOG,20/12/2008,20,49.57,4.957,99.14,49.57,24.785,0,100.0,0
APA,21/12/2008,20,19.55,1.955,39.1,19.55,9.775,0,100.0,0
API,22/12/2008,20,22.94,2.294,45.88,22.94,11.47,0,100.0,0
Total,,150.0,1617.21,,1985.91,368.7,184.35,0,,
