TICKER,Date of Purchase,Units,Cost Base,Unit Price,Value,Capital Gain Non Discounted,Capital Gain Discounted,Capital Loss,Capital Gain Percentage,Capital Loss Percentage
ALQ,13/12/2008,10,190.71,7.825,78.25,0,0,-112.46,0,-58.969
ALU,14/12/2008,10,377,34.86,348.6,0,0,-28.4,0,-7.533
ALX,15/12/2008,10,88.87,8.17,81.7,0,0,-7.17,0,-8.068
AMC,16/12/2008,10,44.93,16.57,165.7,120.77,60.385,0,268.796,0
AMP,17/12/2008,10,547,2.17,21.7,0,0,-525.3,0,-96.033
ANN,18/12/2008,20,195.2,27.37,547.4,352.2,176.1,0,180.43,0
ANZ,19/12/2008,20,81.44,28.215,564.3,482.86,241.43,0,592.903,0
AOG,20/12/2008,20,49.57,1.995,39.9,0,0,-9.67,0,-19.508
APA,21/12/2008,20,19.55,11.31,226.2,206.65,103.325,0,1057.033,0
API,22/12/2008,20,22.94,1.335,26.7,3.76,1.88,0,16.391,0
Total,,150.0,1617.21,,2100.45,1166.24,583.12,-683.0,,
